epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,154.796,0.55499,0.49123,0.92657,0.90797,1,0.965,0.79472,0.67803,0.66483,0.93309,0.0011684,0.0011684,0.0011684
44,157.754,0.54,0.44431,0.89637,0.90949,1,0.95,0.81078,0.64577,0.5632,0.92073,0.0011486,0.0011486,0.0011486
45,160.907,0.56032,0.46826,0.94105,0.90949,1,0.9425,0.82971,0.54451,0.50912,0.89025,0.0011288,0.0011288,0.0011288
46,165.053,0.53023,0.4485,0.91424,0.91167,1,0.965,0.85144,0.56213,0.47679,0.868,0.001109,0.001109,0.001109
47,167.892,0.51652,0.44806,0.90506,0.91163,1,0.965,0.81286,0.59019,0.49808,0.91898,0.0010892,0.0010892,0.0010892
48,171.003,0.54238,0.44958,0.90988,0.9117,1,0.9725,0.82887,0.63844,0.58985,0.96952,0.0010694,0.0010694,0.0010694
49,173.805,0.58097,0.45616,0.89717,0.91144,1,0.965,0.82464,0.64553,0.58522,0.95379,0.0010496,0.0010496,0.0010496
50,178.065,0.5285,0.4394,0.89417,0.91537,0.98449,0.9725,0.83835,0.66136,0.51853,0.9499,0.0010298,0.0010298,0.0010298
51,181.542,0.52869,0.44758,0.9089,0.90777,1,0.9725,0.81838,0.64266,0.47526,0.94808,0.00101,0.00101,0.00101
52,184.472,0.56896,0.45638,0.93033,0.91367,1,0.9725,0.80613,0.63128,0.54606,0.88228,0.0009902,0.0009902,0.0009902
53,187.438,0.48436,0.42483,0.86705,0.84471,0.98974,0.95831,0.84302,0.58769,0.50889,0.8711,0.0009704,0.0009704,0.0009704
54,190.973,0.49142,0.42033,0.87754,0.90542,1,0.9725,0.84815,0.5316,0.47181,0.8666,0.0009506,0.0009506,0.0009506
55,195.074,0.54667,0.42016,0.90269,0.91174,1,0.965,0.79281,0.66959,0.48617,0.91107,0.0009308,0.0009308,0.0009308
56,198.239,0.47371,0.39081,0.86477,0.91503,0.98039,0.965,0.82139,0.57717,0.48439,0.92207,0.000911,0.000911,0.000911
